problem,approach,run,stop_generaion,delivery_rate_best,utilization_rate_best,num_risk_best
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,1,1,-0.452,-0.9724363425925924,8.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,10,1,-0.476,-0.9695416666666664,4.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,11,1,-0.476,-0.9822337962962964,7.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,12,1,-0.52,-0.9774710648148148,3.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,13,1,-0.484,-0.9782609953703704,4.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,14,1,-0.44,-0.9715046296296296,3.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,15,1,-0.46,-0.9786851851851852,5.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,16,1,-0.476,-0.9710416666666666,7.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,17,1,-0.436,-0.9749344135802468,5.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,18,1,-0.4,-0.9793672839506172,6.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,19,1,-0.56,-0.9754108796296296,6.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,2,1,-0.464,-0.9816956018518518,1.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,20,1,-0.42,-0.9799421296296296,8.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,21,1,-0.52,-0.9695277777777778,2.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,22,1,-0.424,-0.9851388888888888,3.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,23,1,-0.42,-0.9796810699588476,2.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,24,1,-0.456,-0.9812003968253968,3.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,25,1,-0.452,-0.9784953703703704,6.6
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,26,1,-0.492,-0.9724867724867724,3.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,27,1,-0.416,-0.983923611111111,6.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,28,1,-0.468,-0.9837169312169312,6.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,29,1,-0.488,-0.9778414351851852,5.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,3,1,-0.44,-0.9852006172839504,3.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,30,1,-0.416,-0.9841898148148146,5.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,4,1,-0.448,-0.972579732510288,3.6
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,5,1,-0.42,-0.9834201388888888,5.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,6,1,-0.464,-0.9788935185185184,3.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,7,1,-0.444,-0.9753674768518518,3.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,8,1,-0.476,-0.9808976337448558,6.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_1,9,1,-0.388,-0.9779464285714284,6.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,1,2,-0.452,-0.975156893004115,7.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,10,2,-0.476,-0.9852083333333332,1.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,11,2,-0.476,-0.9822337962962964,5.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,12,2,-0.52,-0.9774710648148148,3.6
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,13,2,-0.484,-0.9782609953703704,4.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,14,2,-0.44,-0.9795925925925923,3.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,15,2,-0.46,-0.9786851851851852,4.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,16,2,-0.476,-0.9710416666666666,4.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,17,2,-0.436,-0.981464947089947,5.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,18,2,-0.4,-0.9793672839506172,4.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,19,2,-0.56,-0.9789285714285711,6.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,2,2,-0.464,-0.9816956018518518,1.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,20,2,-0.42,-0.9799421296296296,4.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,21,2,-0.52,-0.9753530092592592,2.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,22,2,-0.424,-0.9851388888888888,3.8
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,23,2,-0.42,-0.9796810699588476,1.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,24,2,-0.456,-0.9812003968253968,3.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,25,2,-0.452,-0.9784953703703704,5.0
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,26,2,-0.492,-0.9786970899470898,2.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,27,2,-0.416,-0.9883796296296296,1.2
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,28,2,-0.468,-0.9837169312169312,4.4
RobotScheduleAssignmentProblemVariableRobots,standard_H_0_M_2,29,2,-0.488,-0.9778414351851852,1.0
