robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,delivery_rate,utilization_rate,num_risks,run,problem,approach,generations,min_req,max_req
10,1,9,3,12,1,10,3,9,1,9,2,12,4,12,0,11,0,9,3,19,0.06813091,0.54658437,5.464205,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,1,10,0,9,0,9,1,12,0,9,0,11,0,10,0,11,0.0,0.72626173,0.8096485,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,1,9,3,12,1,10,3,9,1,9,2,12,4,12,0,11,0,9,3,19,0.06813091,0.54658437,5.464205,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,12,1,10,0,9,0,9,0,12,0,12,0,11,0,9,0,10,0.0,0.91591316,0.0,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,2,9,1,10,0,9,0,9,1,12,3,9,0,11,0,10,0,18,0.02657561,0.5720877,3.4370213,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,1,10,0,9,0,9,1,12,4,10,0,11,0,10,1,11,0.044159696,0.6893905,2.3272214,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,1,10,0,9,0,9,1,12,4,10,0,11,0,10,1,11,0.044159696,0.6893905,2.3272214,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,2,12,1,10,0,9,0,9,2,12,0,11,0,11,0,9,2,15,0.010101631,0.58623576,3.4176683,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,1,10,0,9,0,9,1,12,0,9,0,11,0,10,0,11,0.0,0.72626173,0.8096485,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,2,9,1,10,1,9,0,9,0,12,2,9,0,11,0,9,0,13,0.03878157,0.6039831,3.1879194,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,1,9,1,9,1,10,0,9,0,9,1,12,3,9,0,11,0,9,0,18,0.026044682,0.6184474,3.0438437,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,1,10,0,9,0,9,0,12,0,9,0,11,0,9,0,14,0.0,0.7984937,0.23828052,7,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,9,1,10,0,10,0,9,0,11,0,12,0,10,0,9,0,9,0,11,0.058417186,0.6899457,0.0,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,3,9,0,10,0,10,4,11,0,12,4,10,0,9,0,9,0,38,0.12873891,0.4906087,2.4573467,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,2,10,0,10,0,9,0,11,0,12,0,10,0,9,0,9,0,11,0.0,0.8430046,0.95774734,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,3,9,0,10,0,9,2,11,4,12,0,9,1,10,0,9,0,23,0.083557144,0.5996439,2.9164946,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,2,10,0,10,0,9,0,11,0,12,0,10,0,9,0,9,0,11,0.0,0.8430046,0.95774734,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,3,9,0,10,0,10,4,11,0,12,4,10,0,9,0,9,0,38,0.12873891,0.4906087,2.4573467,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,9,1,9,0,12,0,9,2,11,1,12,0,9,0,9,0,9,1,23,0.11628577,0.5849264,2.88505,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,1,9,0,10,0,12,0,9,0,12,3,10,0,9,0,9,0,38,0.018815964,0.78811353,1.5595871,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,1,9,0,10,0,9,0,11,0,12,0,10,0,9,0,9,0,11,0.04905764,0.7459925,0.0,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,2,9,0,10,0,9,0,10,0,12,0,10,0,9,0,9,0,11,0.058103994,0.6885136,0.25731593,6,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,9,3,11,0,9,1,10,1,11,0,10,1,10,1,10,2,21,0.35825354,0.38772953,4.4924073,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,9,2,9,0,9,1,10,1,9,0,10,0,10,1,10,0,21,0.02566915,0.86079365,2.2688804,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,10,1,9,0,9,1,10,1,11,1,10,1,10,1,10,1,13,0.283683,1.2151585,0.1563041,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
