robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,num_delivery_rate,utilization_rate,num_risk
10.0,11.0,10.0,14.0,10.0,14.0,11.0,14.0,11.0,13.0,10.0,11.0,12.0,14.0,12.0,14.0,10.0,12.0,0.0,0.0,19.0,0.42,0.9565072016460905,17.6
10.0,14.0,11.0,14.0,10.0,12.0,12.0,14.0,9.0,12.0,10.0,14.0,10.0,12.0,11.0,14.0,12.0,14.0,0.0,0.0,14.3,0.488,0.9740457818930042,18.4
11.0,14.0,11.0,14.0,10.0,12.0,12.0,14.0,9.0,12.0,10.0,14.0,10.0,12.0,11.0,14.0,12.0,14.0,0.0,0.0,14.3,0.464,0.9699614197530865,18.8
12.0,14.0,11.0,14.0,11.0,14.0,10.0,14.0,11.0,14.0,11.0,13.0,11.0,14.0,12.0,14.0,12.0,14.0,0.0,0.0,15.7,0.48,0.9740200617283951,19.0
9.0,13.0,11.0,13.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.1,0.9628472222222223,3.6
11.0,12.0,12.0,14.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,14.0,10.0,11.0,12.0,14.0,12.0,14.0,0.0,0.0,15.8,0.256,0.9568827160493826,8.8
11.0,14.0,10.0,14.0,10.0,12.0,12.0,14.0,10.0,12.0,10.0,13.0,10.0,11.0,10.0,12.0,11.0,14.0,11.0,14.0,14.3,0.488,0.9710787037037036,19.4
9.0,13.0,11.0,13.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.116,0.989861111111111,3.2
11.0,13.0,12.0,14.0,11.0,14.0,9.0,12.0,9.0,13.0,9.0,11.0,11.0,14.0,12.0,14.0,12.0,14.0,0.0,0.0,15.0,0.444,0.9642746913580245,21.4
9.0,11.0,10.0,14.0,12.0,13.0,9.0,11.0,12.0,14.0,11.0,13.0,9.0,11.0,9.0,11.0,11.0,12.0,0.0,0.0,13.1,0.348,0.9812885802469135,13.6
