approach,delivery_rate_best,utilization_rate_best,num_risk_best,all_obj_mean
standard_H_0_M_1,-0.45653333333333335,-0.9781011090290025,4.926666666666666,1.1640107414347767
standard_H_0_M_2,-0.45653333333333335,-0.9799614782358416,3.613333333333333,0.7256128405880528
standard_H_0_M_3,-0.45653333333333335,-0.9816581689079951,2.7533333333333334,0.4383806103640017
standard_H_0_M_4,-0.45653333333333335,-0.982361583259847,2.0533333333333332,0.20481280558005097
standard_H_0_M_5,-0.45653333333333335,-0.9826432190623161,1.4866666666666668,0.015830038090339116
standard_H_0_M_6,-0.45653333333333335,-0.982782107951205,1.2466666666666668,-0.06421625820595718
standard_H_0_M_7,-0.45653333333333335,-0.982810657333921,1.0866666666666667,-0.11755910800019594
standard_H_0_M_8,-0.45653333333333335,-0.9836387884577696,0.9133333333333333,-0.17561292948592322
standard_H_0_M_9,-0.45653333333333335,-0.9838733177787573,0.6799999999999997,-0.25346888370403037
standard_H_0_M_10,-0.45653333333333335,-0.9838733177787573,0.5733333333333334,-0.2890244392595858
standard_H_0_M_11,-0.45653333333333335,-0.9839769057417203,0.4866666666666666,-0.31794785746946236
standard_H_0_M_12,-0.45653333333333335,-0.9847566896923377,0.4399999999999999,-0.33376334100855704
standard_H_0_M_13,-0.45653333333333335,-0.9848874767293746,0.39999999999999986,-0.3471402700209027
standard_H_0_M_14,-0.45653333333333335,-0.984950748334313,0.3599999999999998,-0.3604946938892155
standard_H_0_M_15,-0.45653333333333335,-0.9852655631491278,0.2999999999999999,-0.38059963216082043
standard_H_0_M_16,-0.45653333333333335,-0.985618443807564,0.26,-0.3940505923802991
standard_H_0_M_17,-0.45653333333333335,-0.9860767771408974,0.24000000000000005,-0.4008700368247436
standard_H_0_M_18,-0.45653333333333335,-0.9860802922300606,0.23333333333333334,-0.4030934307433535
standard_H_0_M_19,-0.45653333333333335,-0.9860802922300606,0.22666666666666668,-0.4053156529655757
standard_H_0_M_20,-0.45653333333333335,-0.986686773711542,0.21333333333333335,-0.4099622579038473
incremental-data_lab28_special_utilization_model12.pth_H_1_M_1,-0.42456297638647456,-1.1875214597887167,4.889688121648254,1.092534561824354
incremental-data_lab28_special_utilization_model12.pth_H_1_M_2,-0.4270567771060536,-1.192676719788717,4.27426381135821,0.8848434381544799
incremental-data_lab28_special_utilization_model12.pth_H_1_M_3,-0.42997201077272035,-1.1928176688790386,3.612879310560328,0.6633632103028564
incremental-data_lab28_special_utilization_model12.pth_H_1_M_4,-0.43317049677272035,-1.1976759788790388,3.1816686060868578,0.5169407101450328
incremental-data_lab28_special_utilization_model12.pth_H_1_M_5,-0.435518747439387,-1.2010441722123717,2.7294104693454746,0.36428251656457195
