,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,168,16.8,5,0,2.2647720673254557,11,14,9,10,10,14,11,14,11,14,10,13,11,12,12,13,12,14,0,0,0.46718865633010864,0.7252560257911682,11.334834098815918,1,0.7252560257911682,0.46718865633010864,11.334834098815918,0.0,59713643048.0,50.0,0.001005411148071289,0.001005411148071289,2.176975965499878
1,33,3.3,5,0,2.2647720673254557,9,11,9,13,12,14,10,13,11,14,9,11,10,13,0,0,0,0,0,0,0.21510310471057892,0.9459546208381653,6.580073356628418,1,0.9459546208381653,0.21510310471057892,6.580073356628418,1.0,59713643048.0,50.0,0.0,0.0,1.351348638534546
2,169,16.9,5,0,2.2647720673254557,9,13,11,13,9,11,9,13,11,14,10,12,9,13,0,0,0,0,0,0,0.3327902555465698,0.703525185585022,10.117932319641113,1,0.703525185585022,0.3327902555465698,10.117932319641113,2.0,59713643048.0,50.0,0.0009996891021728516,0.0009996891021728516,1.3646938800811768
3,118,11.8,5,0,2.2647720673254557,10,12,10,13,10,13,9,11,10,11,11,14,11,13,0,0,0,0,0,0,0.229145810008049,0.7275187373161316,8.43759536743164,1,0.7275187373161316,0.229145810008049,8.43759536743164,3.0,59713643048.0,50.0,0.0010004043579101562,0.0010004043579101562,1.3817331790924072
4,156,15.6,5,0,2.2647720673254557,11,13,12,13,10,12,9,11,9,13,10,11,10,14,11,12,0,0,0,0,0.12495823204517365,0.9542419910430908,9.167953491210938,1,0.9542419910430908,0.12495823204517365,9.167953491210938,4.0,59713643048.0,50.0,0.0009756088256835938,0.0009756088256835938,1.3506250381469727
5,123,12.3,5,0,2.2647720673254557,12,13,11,14,10,12,11,14,9,10,0,0,0,0,0,0,0,0,0,0,0.18412257730960846,0.7962542176246643,6.22514533996582,1,0.7962542176246643,0.18412257730960846,6.22514533996582,5.0,59713643048.0,50.0,0.0009784698486328125,0.0009784698486328125,1.3696973323822021
6,195,19.5,5,0,2.2647720673254557,10,13,10,11,10,12,9,13,10,13,9,13,12,14,0,0,0,0,0,0,0.2831595540046692,0.7403985857963562,10.164258003234863,1,0.7403985857963562,0.2831595540046692,10.164258003234863,6.0,59713643048.0,50.0,0.0,0.0,1.381995677947998
7,83,8.3,5,0,2.2647720673254557,9,10,11,14,12,14,9,11,11,14,11,14,9,10,0,0,0,0,0,0,0.20343898236751556,0.821838915348053,7.792463302612305,1,0.821838915348053,0.20343898236751556,7.792463302612305,7.0,59713643048.0,50.0,0.0009999275207519531,0.0009999275207519531,1.3631131649017334
8,10,1.0,5,0,2.2647720673254557,12,13,10,14,11,13,10,12,12,14,11,12,0,0,0,0,0,0,0,0,0.03958447277545929,1.1155059337615967,4.571290016174316,1,1.1155059337615967,0.03958447277545929,4.571290016174316,8.0,59713643048.0,50.0,0.0010001659393310547,0.0010001659393310547,0.006010770797729492
9,66,6.6,5,0,2.2647720673254557,9,13,12,14,9,10,10,11,11,12,11,14,12,14,9,11,0,0,0,0,0.07964630424976349,1.1429290771484375,6.887939453125,1,1.1429290771484375,0.07964630424976349,6.887939453125,9.0,59713643048.0,50.0,0.0,0.0,0.012010574340820312
