,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,152,15.2,5,0,0.7697972256956356,12,13,9,11,9,12,9,10,9,12,10,13,11,12,11,14,12,14,0,0,0.3144768,1.2260247,10.727347,1,1.2260247,0.3144768,10.727347,0,59713643048,50,0.0,0.0,0.0010061264038085938
1,56,5.6,5,0,0.7697972256956356,12,14,11,14,11,14,12,14,9,13,10,14,11,13,12,13,11,12,0,0,0.15712613,1.1700422,8.421112,1,1.1700422,0.15712613,8.421112,1,59713643048,50,0.0,0.0,0.0030035972595214844
2,73,7.3,5,0,0.7697972256956356,9,12,9,13,9,10,12,14,11,12,11,14,0,0,0,0,0,0,0,0,0.14893535,0.89031297,6.9959598,1,0.89031297,0.14893535,6.9959598,2,59713643048,50,0.0,0.0,0.001995563507080078
3,153,15.3,5,0,0.7697972256956356,11,14,9,12,11,12,11,13,9,13,11,12,0,0,0,0,0,0,0,0,0.30288,0.9924785,8.859797,1,0.9924785,0.30288,8.859797,3,59713643048,50,0.00099945068359375,0.00099945068359375,0.0010006427764892578
4,179,17.9,5,0,0.7697972256956356,10,11,9,11,9,13,9,11,9,12,9,13,11,13,12,14,10,13,0,0,0.32806998,1.1781602,10.861853,1,1.1781602,0.32806998,10.861853,4,59713643048,50,0.0,0.0,0.0019996166229248047
5,25,2.5,5,0,0.7697972256956356,9,13,11,13,10,13,12,13,11,14,12,13,10,14,9,11,11,13,0,0,0.05864004,1.0271298,8.257623,1,1.0271298,0.05864004,8.257623,5,59713643048,50,0.0,0.0,0.005000114440917969
6,69,6.9,5,0,0.7697972256956356,11,14,10,12,10,13,11,13,10,11,11,14,12,14,10,12,0,0,0,0,0.10779384,1.0177134,7.0813427,1,1.0177134,0.10779384,7.0813427,6,59713643048,50,0.0009758472442626953,0.0009758472442626953,0.004001617431640625
7,72,7.2,5,0,0.7697972256956356,9,10,12,14,12,13,10,12,9,13,12,14,11,13,0,0,0,0,0,0,0.14704709,0.8337652,7.656694,1,0.8337652,0.14704709,7.656694,7,59713643048,50,0.0010006427764892578,0.0010006427764892578,0.003022909164428711
8,50,5.0,5,0,0.7697972256956356,10,14,10,12,9,13,11,14,12,14,9,11,10,11,12,13,11,13,0,0,0.17660464,1.0906554,7.903559,1,1.0906554,0.17660464,7.903559,8,59713643048,50,0.0009987354278564453,0.0009987354278564453,0.0010008811950683594
9,193,19.3,5,0,0.7697972256956356,11,12,9,10,10,13,9,12,10,14,12,14,12,14,10,12,9,11,0,0,0.31262404,1.2107549,11.41484,1,1.2107549,0.31262404,11.41484,9,59713643048,50,0.0009953975677490234,0.0009953975677490234,0.006021261215209961
10,156,15.6,5,0,0.7697972256956356,10,14,12,14,10,12,10,13,12,14,11,14,10,11,0,0,0,0,0,0,0.19154811,1.0585995,9.856062,1,1.0585995,0.19154811,9.856062,10,59713643048,50,0.0010008811950683594,0.0010008811950683594,0.0039975643157958984
11,78,7.8,5,0,0.7697972256956356,12,13,10,14,10,11,12,14,10,12,12,14,10,13,0,0,0,0,0,0,0.21210136,0.92809474,8.187542,1,0.92809474,0.21210136,8.187542,11,59713643048,50,0.0019996166229248047,0.0019996166229248047,0.0029997825622558594
12,25,2.5,5,1,0.7697972256956356,11,13,10,12,12,14,10,13,10,12,0,0,0,0,0,0,0,0,0,0,0.15532148,0.58388126,4.2379413,1,0.58388126,0.15532148,4.2379413,12,59713643048,50,0.0,0.0,0.0020122528076171875
13,78,7.8,5,1,0.7697972256956356,9,13,10,14,9,10,12,14,12,14,10,13,12,13,10,13,0,0,0,0,0.207451,1.0474739,7.7841325,1,1.0474739,0.207451,7.7841325,13,59713643048,50,0.002000093460083008,0.002000093460083008,0.002989530563354492
14,50,5.0,5,1,0.7697972256956356,12,14,9,13,10,12,9,13,9,12,12,14,9,11,10,11,12,13,11,12,0.17072369,1.0864447,7.8771544,1,1.0864447,0.17072369,7.8771544,14,59713643048,50,0.0,0.0,0.00498509407043457
15,56,5.6,5,1,0.7697972256956356,11,14,11,14,11,14,11,14,10,14,11,12,12,13,11,12,0,0,0,0,0.114311606,1.063435,6.4458995,1,1.063435,0.114311606,6.4458995,15,59713643048,50,0.0009944438934326172,0.0009944438934326172,0.005999088287353516
16,153,15.3,5,1,0.7697972256956356,11,14,9,12,11,12,11,13,9,13,11,12,0,0,0,0,0,0,0,0,0.30288,0.9924785,8.859797,1,0.9924785,0.30288,8.859797,3,59713643048,50,0.00099945068359375,0.00099945068359375,0.0040090084075927734
17,153,15.3,5,1,0.7697972256956356,11,14,9,12,11,12,11,13,9,13,11,12,0,0,0,0,0,0,0,0,0.30288,0.9924785,8.859797,1,0.9924785,0.30288,8.859797,3,59713643048,50,0.00099945068359375,0.00099945068359375,0.0059969425201416016
18,72,7.2,5,1,0.7697972256956356,9,10,12,14,10,11,12,14,9,13,10,14,11,13,0,0,0,0,0,0,0.24666388,0.77569664,7.8092957,1,0.77569664,0.24666388,7.8092957,16,59713643048,50,0.0009870529174804688,0.0009870529174804688,0.0009999275207519531
19,50,5.0,5,1,0.7697972256956356,10,13,10,12,9,13,12,14,9,11,9,11,11,12,9,10,11,13,0,0,0.16004127,1.014389,8.095109,1,1.014389,0.16004127,8.095109,17,59713643048,50,0.0009889602661132812,0.0009889602661132812,0.0035169124603271484
20,55,5.5,5,1,0.7697972256956356,12,14,9,13,11,13,12,14,11,14,10,14,9,10,11,12,12,13,11,12,0.17428437,1.1111042,8.649854,1,1.1111042,0.17428437,8.649854,18,59713643048,50,0.0010066032409667969,0.0010066032409667969,0.0020105838775634766
21,71,7.1,5,1,0.7697972256956356,11,14,10,12,9,13,9,11,11,14,10,11,12,13,11,12,0,0,0,0,0.07685877,1.0558863,6.7814713,1,1.0558863,0.07685877,6.7814713,19,59713643048,50,0.0,0.0,0.004015684127807617
