,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,150,15.0,5,0,10,12,12,14,12,14,9,12,9,13,10,13,12,14,12,14,0,0,0,0,16.0,19.6,0.9763136574074074,0.392,1,19.6,0.9763136574074074,0.392,16.0,0,59713643048,50,83.03962993621826,83.03962993621826,84.58295035362244
1,172,17.2,5,0,12,14,10,11,12,13,11,12,10,12,9,10,11,13,11,13,0,0,0,0,11.6,12.0,0.9747569444444442,0.24,1,12.0,0.9747569444444442,0.24,11.6,1,59713643048,50,79.50664162635803,79.50664162635803,80.78164625167847
2,73,7.3,5,0,11,14,12,14,10,12,12,13,12,13,11,13,10,13,9,11,0,0,0,0,9.4,13.2,0.956267361111111,0.264,1,13.2,0.956267361111111,0.264,9.4,2,59713643048,50,107.82397603988647,107.82397603988647,109.08762836456299
3,143,14.3,5,0,11,14,11,14,10,12,12,14,9,12,10,14,10,12,11,14,12,14,0,0,18.8,23.2,0.9699614197530865,0.464,1,23.2,0.9699614197530865,0.464,18.8,3,59713643048,50,104.49576735496521,104.49576735496521,106.60913610458374
4,26,2.6,5,0,9,11,11,12,9,11,11,12,9,12,12,14,9,13,10,14,0,0,0,0,8.0,10.8,0.947818287037037,0.216,1,10.8,0.947818287037037,0.216,8.0,4,59713643048,50,147.15070605278015,147.15070605278015,147.15381956100464
5,190,19.0,5,0,10,11,10,14,10,14,11,14,11,13,10,11,12,14,12,14,10,12,0,0,17.6,21.0,0.9565072016460905,0.42,1,21.0,0.9565072016460905,0.42,17.6,5,59713643048,50,108.15437150001526,108.15437150001526,108.15781497955322
6,158,15.8,5,0,11,12,12,14,11,12,11,12,11,12,12,14,10,11,12,14,12,14,0,0,8.8,12.8,0.9568827160493826,0.256,1,12.8,0.9568827160493826,0.256,8.8,6,59713643048,50,90.8571503162384,90.8571503162384,90.86004781723022
7,122,12.2,5,0,12,13,12,14,11,12,9,11,12,14,12,13,12,14,0,0,0,0,0,0,5.4,10.2,0.9400793650793651,0.204,1,10.2,0.9400793650793651,0.204,5.4,7,59713643048,50,101.37843060493469,101.37843060493469,101.38910484313965
8,94,9.4,5,0,12,14,12,14,12,14,10,12,10,13,12,13,11,13,12,13,0,0,0,0,7.6,13.2,0.9514525462962962,0.264,1,13.2,0.9514525462962962,0.264,7.6,8,59713643048,50,104.26157712936401,104.26157712936401,104.2655816078186
9,172,17.2,5,0,12,14,9,11,12,14,10,13,11,14,9,13,12,14,11,13,0,0,0,0,18.6,20.0,0.9726504629629629,0.4,1,20.0,0.9726504629629629,0.4,18.6,9,59713643048,50,85.90983557701111,85.90983557701111,85.91338992118835
10,157,15.7,5,0,12,14,11,14,11,14,10,14,11,14,11,13,11,14,12,14,12,14,0,0,19.0,24.0,0.9740200617283951,0.48,1,24.0,0.9740200617283951,0.48,19.0,10,59713643048,50,78.64256501197815,78.64256501197815,80.36512541770935
11,24,2.4,5,0,12,14,9,13,10,14,10,12,11,14,11,13,10,13,0,0,0,0,0,0,9.4,10.6,0.9371858465608466,0.212,1,10.6,0.9371858465608466,0.212,9.4,11,59713643048,50,153.22128868103027,153.22128868103027,153.22487783432007
12,150,15.0,5,1,11,13,12,14,11,14,9,12,9,13,9,11,11,14,12,14,12,14,0,0,21.4,22.2,0.9642746913580245,0.444,1,22.2,0.9642746913580245,0.444,21.4,12,59713643048,50,107.2776370048523,107.2776370048523,107.28142619132996
13,122,12.2,5,1,10,11,12,14,9,11,12,13,12,14,0,0,0,0,0,0,0,0,0,0,5.8,7.4,0.9479166666666666,0.148,1,7.4,0.9479166666666666,0.148,5.8,13,59713643048,50,75.40809988975525,75.40809988975525,75.4114727973938
14,152,15.2,5,1,10,12,12,14,10,13,9,12,9,10,10,13,12,14,11,13,0,0,0,0,15.6,17.8,0.9778414351851852,0.356,1,17.8,0.9778414351851852,0.356,15.6,14,59713643048,50,87.51337742805481,87.51337742805481,87.51678228378296
15,21,2.1,5,1,12,13,12,14,9,12,10,14,10,13,11,13,10,13,0,0,0,0,0,0,5.8,9.4,0.9326752645502646,0.188,1,9.4,0.9326752645502646,0.188,5.8,15,59713643048,50,135.8954861164093,135.8954861164093,137.57718586921692
16,94,9.4,5,1,12,14,12,14,12,14,10,12,10,13,12,13,11,13,12,13,0,0,0,0,7.6,13.2,0.9514525462962962,0.264,1,13.2,0.9514525462962962,0.264,7.6,8,59713643048,50,104.26157712936401,104.26157712936401,0.0006914138793945312
