,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,13,1.3,5,0,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,3.4,5.8,0.9395998677248676,0.116,1,5.8,0.9395998677248676,0.116,3.4,0,59713643048,50,146.12997150421143,146.12997150421143,0.0005831718444824219
1,161,16.1,5,0,10,13,9,12,10,13,12,13,9,11,12,14,9,10,0,0,0,0,0,0,11.2,14.8,0.9724867724867724,0.296,1,14.8,0.9724867724867724,0.296,11.2,1,59713643048,50,90.12803363800049,90.12803363800049,0.00036787986755371094
2,165,16.5,5,0,9,13,10,13,9,12,11,12,12,13,11,13,12,14,12,14,0,0,0,0,15.8,17.8,0.9664438657407407,0.356,1,17.8,0.9664438657407407,0.356,15.8,2,59713643048,50,85.84619069099426,85.84619069099426,0.0003578662872314453
3,48,4.8,5,0,11,14,9,12,11,12,10,11,9,12,12,14,10,14,9,12,0,0,0,0,8.0,14.2,0.9497482638888888,0.284,1,14.2,0.9497482638888888,0.284,8.0,3,59713643048,50,153.02448415756226,153.02448415756226,0.0003561973571777344
4,194,19.4,5,0,12,14,9,10,9,11,10,14,11,13,12,14,12,13,9,12,12,13,0,0,13.6,18.0,0.9546527777777776,0.36,1,18.0,0.9546527777777776,0.36,13.6,4,59713643048,50,112.23393058776855,112.23393058776855,0.0003581047058105469
5,108,10.8,5,0,9,11,12,14,11,12,10,14,12,14,12,14,9,13,11,13,11,13,9,12,19.4,22.2,0.9615648148148146,0.444,1,22.2,0.9615648148148146,0.444,19.4,5,59713643048,50,122.94556164741516,122.94556164741516,0.0003509521484375
6,154,15.4,5,0,10,14,9,13,9,13,9,13,12,14,10,14,11,14,0,0,0,0,0,0,23.6,24.6,0.971574074074074,0.492,1,24.6,0.971574074074074,0.492,23.6,6,59713643048,50,84.5609393119812,84.5609393119812,0.0004322528839111328
7,103,10.3,5,0,11,14,12,13,12,14,12,14,11,13,10,11,10,14,0,0,0,0,0,0,10.8,13.6,0.9553571428571427,0.272,1,13.6,0.9553571428571427,0.272,10.8,7,59713643048,50,96.06752276420593,96.06752276420593,0.00034165382385253906
8,75,7.5,5,0,10,14,11,12,10,12,11,12,10,12,10,11,12,13,0,0,0,0,0,0,8.0,10.0,0.9440178571428571,0.2,1,10.0,0.9440178571428571,0.2,8.0,8,59713643048,50,104.47682309150696,104.47682309150696,0.0003459453582763672
9,135,13.5,5,0,11,14,10,11,10,14,9,12,11,12,12,13,10,14,0,0,0,0,0,0,15.2,16.2,0.9633002645502644,0.324,1,16.2,0.9633002645502644,0.324,15.2,9,59713643048,50,94.53365683555603,94.53365683555603,0.0003447532653808594
10,116,11.6,5,0,10,13,11,13,10,13,12,14,10,12,11,13,12,13,12,13,0,0,0,0,11.2,14.8,0.9646064814814814,0.296,1,14.8,0.9646064814814814,0.296,11.2,10,59713643048,50,95.23617053031921,95.23617053031921,0.0003616809844970703
11,11,1.1,5,0,10,14,11,14,10,11,9,13,11,12,11,14,9,10,0,0,0,0,0,0,5.2,5.4,0.9119146825396826,0.108,1,5.4,0.9119146825396826,0.108,5.2,11,59713643048,50,204.05786156654358,204.05786156654358,0.0003464221954345703
12,116,11.6,5,1,10,13,11,13,10,13,11,12,11,13,12,13,9,10,0,0,0,0,0,0,8.2,11.8,0.925568783068783,0.236,1,11.8,0.925568783068783,0.236,8.2,12,59713643048,50,122.56253123283386,122.56253123283386,0.00034236907958984375
13,165,16.5,5,1,9,13,10,13,9,12,11,14,11,13,11,13,12,14,12,14,0,0,0,0,16.0,20.8,0.9659751157407407,0.416,1,20.8,0.9659751157407407,0.416,16.0,13,59713643048,50,88.9826922416687,88.9826922416687,0.00034236907958984375
14,103,10.3,5,1,11,14,12,13,12,14,12,14,11,13,10,11,10,13,0,0,0,0,0,0,8.6,12.8,0.9574404761904762,0.256,1,12.8,0.9574404761904762,0.256,8.6,14,59713643048,50,92.79390406608582,92.79390406608582,0.0003428459167480469
15,48,4.8,5,1,11,14,9,12,11,12,10,11,9,12,12,14,9,13,9,12,0,0,0,0,14.4,14.2,0.9548842592592592,0.284,1,14.2,0.9548842592592592,0.284,14.4,15,59713643048,50,141.25769567489624,141.25769567489624,0.00034046173095703125
16,135,13.5,5,1,9,13,11,12,9,10,9,11,10,11,12,13,0,0,0,0,0,0,0,0,9.0,9.6,0.9515162037037035,0.192,1,9.6,0.9515162037037035,0.192,9.0,16,59713643048,50,81.94174528121948,81.94174528121948,0.0003509521484375
17,74,7.4,5,1,11,14,9,10,10,13,9,12,11,12,12,13,10,14,0,0,0,0,0,0,10.4,13.4,0.9586541005291005,0.268,1,13.4,0.9586541005291005,0.268,10.4,17,59713643048,50,110.54993844032288,110.54993844032288,0.00034117698669433594
18,108,10.8,5,1,9,11,9,12,11,12,10,14,12,13,10,12,9,13,11,13,11,13,9,12,19.4,21.8,0.9505624999999999,0.436,1,21.8,0.9505624999999999,0.436,19.4,18,59713643048,50,142.144868850708,142.144868850708,0.0003445148468017578
19,164,16.4,5,1,9,13,12,13,9,11,11,12,12,13,12,14,12,14,12,14,0,0,0,0,15.2,14.8,0.9674826388888887,0.296,1,14.8,0.9674826388888887,0.296,15.2,19,59713643048,50,87.59256291389465,87.59256291389465,0.00033926963806152344
20,99,9.9,5,1,11,14,10,11,11,14,11,12,12,13,10,14,0,0,0,0,0,0,0,0,8.4,11.6,0.941423611111111,0.232,1,11.6,0.941423611111111,0.232,8.4,20,59713643048,50,92.30649185180664,92.30649185180664,0.0003390312194824219
21,138,13.8,5,1,11,14,11,12,10,12,10,12,12,14,11,12,10,11,10,14,0,0,0,0,12.0,15.6,0.9681799768518518,0.312,1,15.6,0.9681799768518518,0.312,12.0,21,59713643048,50,84.90436482429504,84.90436482429504,0.00035381317138671875
22,194,19.4,5,1,12,14,9,10,9,11,10,14,11,13,12,14,12,13,9,12,12,13,0,0,13.6,18.0,0.9546527777777776,0.36,1,18.0,0.9546527777777776,0.36,13.6,4,59713643048,50,112.23393058776855,112.23393058776855,0.0003387928009033203
23,116,11.6,5,1,10,13,11,13,10,13,12,14,10,12,11,13,12,13,12,13,0,0,0,0,11.2,14.8,0.9646064814814814,0.296,1,14.8,0.9646064814814814,0.296,11.2,10,59713643048,50,95.23617053031921,95.23617053031921,0.0003447532653808594
24,13,1.3,5,2,11,12,12,14,12,14,11,14,9,11,9,10,12,14,0,0,0,0,0,0,4.4,5.6,0.9786970899470898,0.112,1,5.6,0.9786970899470898,0.112,4.4,22,59713643048,50,95.65947580337524,95.65947580337524,0.0003361701965332031
25,103,10.3,5,2,11,13,12,13,12,14,9,12,9,11,10,11,0,0,0,0,0,0,0,0,8.4,9.4,0.9194212962962962,0.188,1,9.4,0.9194212962962962,0.188,8.4,23,59713643048,50,117.14495897293091,117.14495897293091,0.00033354759216308594
26,135,13.5,5,2,9,13,11,12,9,10,9,11,10,11,12,13,0,0,0,0,0,0,0,0,9.0,9.6,0.9515162037037035,0.192,1,9.6,0.9515162037037035,0.192,9.0,16,59713643048,50,81.94174528121948,81.94174528121948,0.0003333091735839844
27,135,13.5,5,2,9,13,11,12,9,10,9,11,10,11,12,13,0,0,0,0,0,0,0,0,9.0,9.6,0.9515162037037035,0.192,1,9.6,0.9515162037037035,0.192,9.0,16,59713643048,50,81.94174528121948,81.94174528121948,0.0003294944763183594
28,11,1.1,5,2,10,11,11,14,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,2.2,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,2.2,24,59713643048,50,152.09263110160828,152.09263110160828,0.0003275871276855469
29,12,1.2,5,2,11,14,12,13,12,14,11,12,9,13,10,13,9,12,10,11,0,0,0,0,3.6,7.2,0.9585271990740739,0.144,1,7.2,0.9585271990740739,0.144,3.6,25,59713643048,50,137.00507140159607,137.00507140159607,0.0003478527069091797
30,49,4.9,5,2,11,14,9,10,11,14,11,12,11,12,10,14,0,0,0,0,0,0,0,0,5.2,9.4,0.9662229938271604,0.188,1,9.4,0.9662229938271604,0.188,5.2,26,59713643048,50,107.50529289245605,107.50529289245605,0.0004038810729980469
31,97,9.7,5,2,11,14,9,12,10,11,9,11,12,14,10,14,9,11,0,0,0,0,0,0,14.0,15.0,0.9474272486772487,0.3,1,15.0,0.9474272486772487,0.3,14.0,27,59713643048,50,118.18302607536316,118.18302607536316,0.0003399848937988281
32,13,1.3,5,2,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,3.4,5.8,0.9395998677248676,0.116,1,5.8,0.9395998677248676,0.116,3.4,0,59713643048,50,146.12997150421143,146.12997150421143,0.0003483295440673828
33,13,1.3,5,2,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,3.4,5.8,0.9395998677248676,0.116,1,5.8,0.9395998677248676,0.116,3.4,0,59713643048,50,146.12997150421143,146.12997150421143,0.00033855438232421875
34,80,8.0,5,2,11,12,10,11,11,14,11,12,12,13,10,11,0,0,0,0,0,0,0,0,4.6,6.8,0.9556790123456788,0.136,1,6.8,0.9556790123456788,0.136,4.6,28,59713643048,50,78.73717713356018,78.73717713356018,0.00033402442932128906
35,12,1.2,5,2,11,13,12,14,11,14,9,13,9,12,10,13,0,0,0,0,0,0,0,0,4.0,6.0,0.9594174382716049,0.12,1,6.0,0.9594174382716049,0.12,4.0,29,59713643048,50,127.55792212486267,127.55792212486267,0.0003383159637451172
36,116,11.6,5,3,10,13,11,12,10,12,10,12,10,11,12,13,0,0,0,0,0,0,0,0,7.2,9.2,0.958533950617284,0.184,1,9.2,0.958533950617284,0.184,7.2,30,59713643048,50,82.73948764801025,82.73948764801025,0.00033211708068847656
37,74,7.4,5,3,10,13,11,13,11,14,11,12,10,11,11,13,12,13,9,10,0,0,0,0,9.8,11.4,0.9469849537037036,0.228,1,11.4,0.9469849537037036,0.228,9.8,31,59713643048,50,121.86246800422668,121.86246800422668,0.000331878662109375
38,16,1.6,5,3,11,13,12,14,12,14,11,14,9,11,9,10,12,14,0,0,0,0,0,0,3.4,6.4,0.9616402116402115,0.128,1,6.4,0.9616402116402115,0.128,3.4,32,59713643048,50,127.89817309379578,127.89817309379578,0.00033020973205566406
39,99,9.9,5,3,12,13,12,14,9,12,9,11,9,10,0,0,0,0,0,0,0,0,0,0,5.8,8.2,0.9756851851851851,0.164,1,8.2,0.9756851851851851,0.164,5.8,33,59713643048,50,70.99414157867432,70.99414157867432,0.0003387928009033203
40,12,1.2,5,3,11,12,12,14,9,13,12,13,9,12,10,11,0,0,0,0,0,0,0,0,2.0,5.2,0.9332137345679014,0.104,1,5.2,0.9332137345679014,0.104,2.0,34,59713643048,50,116.52745223045349,116.52745223045349,0.00034165382385253906
41,11,1.1,5,3,10,11,11,12,12,13,11,14,11,12,9,13,9,10,0,0,0,0,0,0,3.0,4.4,0.9255886243386241,0.088,1,4.4,0.9255886243386241,0.088,3.0,35,59713643048,50,132.39044380187988,132.39044380187988,0.00034308433532714844
42,12,1.2,5,3,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,2.0,5.2,0.9339781746031746,0.104,1,5.2,0.9339781746031746,0.104,2.0,36,59713643048,50,150.65709567070007,150.65709567070007,0.0003409385681152344
